match_id,versus,bowling_team,bowler,overs,maidens,runs_given,wickets,economy,zeros,fours_given,sixes_given,wides,noballs
1,U.S.A. vs Canada,United States Of America,Ali Khan,4,0,41,1,10.25,11,5,2,2,0
1,U.S.A. vs Canada,United States Of America,Saurabh Netravalkar,2,0,16,0,8.00,3,2,0,0,0
1,U.S.A. vs Canada,United States Of America,Harmeet Singh,4,0,27,1,6.75,11,3,1,0,0
1,U.S.A. vs Canada,United States Of America,Jasdeep Singh,3,0,24,0,8.00,7,4,0,0,0
1,U.S.A. vs Canada,United States Of America,Shadley van Schalkwyk,3,0,34,0,11.33,1,1,2,0,0
1,U.S.A. vs Canada,United States Of America,Steven Taylor,1,0,15,0,15.00,1,0,2,0,0
1,U.S.A. vs Canada,United States Of America,Corey Anderson,3,0,29,1,9.66,4,2,1,0,0
1,U.S.A. vs Canada,Canada,Kaleem Sana,4,0,34,1,8.50,9,4,0,3,0
1,U.S.A. vs Canada,Canada,Jeremy Gordon,3,0,44,0,14.66,7,4,3,3,2
1,U.S.A. vs Canada,Canada,Dilon Heyliger,3,0,19,1,6.33,9,0,1,2,0
1,U.S.A. vs Canada,Canada,Saad Bin Zafar,4,0,42,0,10.50,9,2,4,0,0
1,U.S.A. vs Canada,Canada,Nikhil Dutta,2.4,0,41,1,15.37,5,2,4,2,1
1,U.S.A. vs Canada,Canada,Pargat Singh,1,0,15,0,15.00,0,1,1,0,0
2,West Indies vs P.N.G.,West Indies,Akeal Hosein,3,0,9,1,3.00,13,1,0,0,0
2,West Indies vs P.N.G.,West Indies,Romario Shepherd,3,0,23,1,7.66,5,1,0,1,0
2,West Indies vs P.N.G.,West Indies,Andre Russell,3,0,19,2,6.33,8,2,0,1,0
2,West Indies vs P.N.G.,West Indies,Roston Chase,4,0,26,0,6.50,11,1,1,3,0
2,West Indies vs P.N.G.,West Indies,Alzarri Joseph,4,0,34,2,8.50,11,5,0,1,1
2,West Indies vs P.N.G.,West Indies,Gudakesh Motie,3,0,24,1,8.00,7,2,1,0,0
2,West Indies vs P.N.G.,Papua New Guinea,Kabua Morea,3,0,30,0,10.00,7,6,0,0,0
2,West Indies vs P.N.G.,Papua New Guinea,Alei Nao,2,1,9,1,4.50,9,2,0,0,0
2,West Indies vs P.N.G.,Papua New Guinea,Chad Soper,3,0,19,1,6.33,8,2,0,0,0
2,West Indies vs P.N.G.,Papua New Guinea,Sese Bau,1,0,18,0,18.00,1,1,2,0,0
2,West Indies vs P.N.G.,Papua New Guinea,John Kariko,4,0,17,1,4.25,15,0,1,0,0
2,West Indies vs P.N.G.,Papua New Guinea,Assad Vala,4,1,28,2,7.00,11,3,1,0,0
2,West Indies vs P.N.G.,Papua New Guinea,Charles Amini,2,0,14,0,7.00,3,0,1,0,0
3,Oman vs Namibia,Namibia,Ruben Trumpelmann,4,0,21,4,5.25,12,2,0,0,1
3,Oman vs Namibia,Namibia,David Wiese,3.4,0,28,3,7.63,11,4,1,0,0
3,Oman vs Namibia,Namibia,Tangeni Lungameni,4,0,18,0,4.50,14,2,0,1,0
